velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.001074,-0.000959,0.001301,0.000000,0.000000,0.000000,0.000000,0.003372,-0.001671,-20.587292,20.699453,20.105412,-362897997824.000000,0.259646,-0.000000,-0.000000,20.158258,32549,-1518603904,21903,-0.000000,0.000000,-0.000000,6,0,1
0.000733,-0.000010,0.001597,0.000000,0.000000,0.000000,0.000000,0.003670,-0.001461,-20.587301,20.699461,20.240170,20.699453,0.259659,0.000000,0.000000,20.105412,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.001120,-0.000078,0.001729,0.000000,0.000000,0.000000,0.000000,0.003685,-0.001460,-20.587315,20.699522,20.245455,20.699453,0.259847,0.000000,-0.000000,20.240170,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.001339,-0.000325,0.001625,0.000000,0.000000,0.000000,0.000000,0.003765,-0.001406,-20.587376,20.699541,20.221674,20.699453,0.259867,0.000000,-0.000000,20.245455,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000759,0.000222,0.001615,0.000000,0.000000,0.000000,0.000000,0.003790,-0.001412,-20.587395,20.699638,19.949514,20.699453,0.260550,0.000000,-0.000000,20.221674,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000997,0.000470,0.001625,0.000000,0.000000,0.000000,0.000000,0.003796,-0.001378,-20.587492,20.699661,19.999718,20.699453,0.260596,0.000000,0.000000,19.949514,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.001005,0.000660,0.001530,0.000000,0.000000,0.000000,0.000000,0.003815,-0.001374,-20.587515,20.699684,19.957441,20.699453,0.260639,0.000000,0.000000,19.999718,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.001005,0.000660,0.001530,0.000000,0.000000,0.000000,0.000000,0.003815,-0.001374,-20.587515,20.699684,19.957441,20.699453,0.260639,0.000000,0.000000,19.999718,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.001054,0.000994,0.001568,0.000000,0.000000,0.000000,0.000000,0.003748,-0.001191,-20.587511,20.699678,20.240170,20.699453,0.259775,0.000000,0.000000,20.057850,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000917,0.000656,0.001631,0.000000,0.000000,0.000000,0.000000,0.003766,-0.001170,-20.587532,20.699688,20.145046,20.699453,0.260490,0.000000,0.000000,20.240170,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000689,0.000655,0.001696,0.000000,0.000000,0.000000,0.000000,0.003750,-0.001246,-20.587542,20.699715,20.353788,20.699453,0.260530,0.000000,0.000000,20.145046,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.000308,0.000663,0.001713,0.000000,0.000000,0.000000,0.000000,0.003766,-0.001235,-20.587568,20.699638,20.192608,20.699453,0.260571,0.000000,0.000000,20.353788,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.000786,0.000536,0.001488,0.000000,0.000000,0.000000,0.000000,0.003608,-0.001241,-20.587492,20.699661,20.044638,20.699453,0.259714,-0.000000,0.000000,20.192608,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.000889,0.000540,0.001323,0.000000,0.000000,0.000000,0.000000,0.003597,-0.001229,-20.587515,20.699480,20.335293,20.699453,0.259716,-0.000000,0.000000,20.044638,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.001179,0.000643,0.001325,0.000000,0.000000,0.000000,0.000000,0.003555,-0.001223,-20.587334,20.699488,20.084272,20.699453,0.258650,-0.000000,0.000000,20.335293,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.000967,0.000723,0.001562,0.000000,0.000000,0.000000,0.000000,0.003432,-0.001227,-20.587341,20.699499,20.047279,20.699453,0.258613,-0.000000,0.000000,20.084272,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000215,0.000142,0.001730,0.000000,0.000000,0.000000,0.000000,0.003523,-0.001393,-20.587353,20.699493,20.002361,20.699453,0.258584,0.000000,0.000000,20.047279,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000749,0.000253,0.001838,0.000000,0.000000,0.000000,0.000000,0.003505,-0.001394,-20.587347,20.699509,20.250738,20.699453,0.259254,0.000000,0.000000,20.002361,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000953,0.000279,0.001831,0.000000,0.000000,0.000000,0.000000,0.003519,-0.001389,-20.587362,20.699543,19.909880,20.699453,0.259254,0.000000,0.000000,20.250738,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
0.000552,0.000207,0.001763,0.000000,0.000000,0.000000,0.000000,0.003554,-0.001400,-20.587397,20.699566,20.060492,20.699453,0.259632,0.000000,0.000000,19.909880,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.000898,0.000776,0.001621,0.000000,0.000000,0.000000,0.000000,0.003589,-0.001416,-20.587420,20.699469,20.195250,20.699453,0.259646,0.000000,0.000000,20.060492,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.001484,0.000873,0.001308,0.000000,0.000000,0.000000,0.000000,0.003414,-0.001260,-20.587322,20.699474,20.097485,20.699453,0.259655,-0.000000,0.000000,20.195250,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.002270,0.000529,0.001157,0.000000,0.000000,0.000000,0.000000,0.003409,-0.001264,-20.587328,20.699450,20.084272,20.699453,0.260461,-0.000000,0.000000,20.097485,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
-0.002282,0.000593,0.001198,0.000000,0.000000,0.000000,0.000000,0.003263,-0.001318,-20.587303,20.699451,20.158258,20.699453,0.260495,-0.000000,0.000000,20.084272,1139359429,225252736,156744,2.000000,1.000000,-1.000000,6,0,1
